,sampler,feature_set,dimension,sample_size,classifier,accuracy,number_of_nan_rows,nan_test_idx
55,Random walk,disp,10,1000,knn,0.1527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
56,Hilbert curve,disp,10,1000,knn,0.5416666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
57,Latin Hypercube,disp,20,1000,knn,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
58,Random walk,disp,20,1000,knn,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
59,Hilbert curve,disp,20,1000,knn,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
60,Latin Hypercube,disp,2,1000,rfc,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
61,Random walk,disp,2,1000,rfc,0.19444444444444445,1,"Int64Index([1364], dtype='int64', name='test_id')"
62,Hilbert curve,disp,2,1000,rfc,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
63,Latin Hypercube,disp,5,1000,rfc,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
64,Random walk,disp,5,1000,rfc,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
65,Hilbert curve,disp,5,1000,rfc,0.5,0,"Int64Index([], dtype='int64', name='test_id')"
66,Latin Hypercube,disp,10,1000,rfc,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
67,Random walk,disp,10,1000,rfc,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
68,Hilbert curve,disp,10,1000,rfc,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
69,Latin Hypercube,disp,20,1000,rfc,0.6527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
70,Random walk,disp,20,1000,rfc,0.125,0,"Int64Index([], dtype='int64', name='test_id')"
71,Hilbert curve,disp,20,1000,rfc,0.5555555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
72,Latin Hypercube,ela_distr,2,100,dtree,0.2777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
73,Random walk,ela_distr,2,100,dtree,0.09722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
74,Hilbert curve,ela_distr,2,100,dtree,0.2222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
75,Latin Hypercube,ela_distr,5,100,dtree,0.4444444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
76,Random walk,ela_distr,5,100,dtree,0.125,0,"Int64Index([], dtype='int64', name='test_id')"
77,Hilbert curve,ela_distr,5,100,dtree,0.375,0,"Int64Index([], dtype='int64', name='test_id')"
78,Latin Hypercube,ela_distr,10,100,dtree,0.4305555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
79,Random walk,ela_distr,10,100,dtree,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
80,Hilbert curve,ela_distr,10,100,dtree,0.4305555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
81,Latin Hypercube,ela_distr,20,100,dtree,0.4722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
82,Random walk,ela_distr,20,100,dtree,0.20833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
83,Hilbert curve,ela_distr,20,100,dtree,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
84,Latin Hypercube,ela_distr,2,100,knn,0.3194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
85,Random walk,ela_distr,2,100,knn,0.1111111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
86,Hilbert curve,ela_distr,2,100,knn,0.3194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
87,Latin Hypercube,ela_distr,5,100,knn,0.4027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
88,Random walk,ela_distr,5,100,knn,0.20833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
89,Hilbert curve,ela_distr,5,100,knn,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
90,Latin Hypercube,ela_distr,10,100,knn,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
91,Random walk,ela_distr,10,100,knn,0.16666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
92,Hilbert curve,ela_distr,10,100,knn,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
93,Latin Hypercube,ela_distr,20,100,knn,0.4861111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
94,Random walk,ela_distr,20,100,knn,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
95,Hilbert curve,ela_distr,20,100,knn,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
96,Latin Hypercube,ela_distr,2,100,rfc,0.3055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
97,Random walk,ela_distr,2,100,rfc,0.16666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
98,Hilbert curve,ela_distr,2,100,rfc,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
99,Latin Hypercube,ela_distr,5,100,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
100,Random walk,ela_distr,5,100,rfc,0.2222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
101,Hilbert curve,ela_distr,5,100,rfc,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
102,Latin Hypercube,ela_distr,10,100,rfc,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
103,Random walk,ela_distr,10,100,rfc,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
104,Hilbert curve,ela_distr,10,100,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
105,Latin Hypercube,ela_distr,20,100,rfc,0.5,0,"Int64Index([], dtype='int64', name='test_id')"
106,Random walk,ela_distr,20,100,rfc,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
107,Hilbert curve,ela_distr,20,100,rfc,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
108,Latin Hypercube,ela_distr,2,1000,dtree,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
109,Random walk,ela_distr,2,1000,dtree,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
110,Hilbert curve,ela_distr,2,1000,dtree,0.3611111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
111,Latin Hypercube,ela_distr,5,1000,dtree,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
112,Random walk,ela_distr,5,1000,dtree,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
113,Hilbert curve,ela_distr,5,1000,dtree,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
114,Latin Hypercube,ela_distr,10,1000,dtree,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
115,Random walk,ela_distr,10,1000,dtree,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
116,Hilbert curve,ela_distr,10,1000,dtree,0.6666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
117,Latin Hypercube,ela_distr,20,1000,dtree,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
118,Random walk,ela_distr,20,1000,dtree,0.2222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
119,Hilbert curve,ela_distr,20,1000,dtree,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
120,Latin Hypercube,ela_distr,2,1000,knn,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
121,Random walk,ela_distr,2,1000,knn,0.16666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
122,Hilbert curve,ela_distr,2,1000,knn,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
123,Latin Hypercube,ela_distr,5,1000,knn,0.5,0,"Int64Index([], dtype='int64', name='test_id')"
124,Random walk,ela_distr,5,1000,knn,0.25,0,"Int64Index([], dtype='int64', name='test_id')"
125,Hilbert curve,ela_distr,5,1000,knn,0.4444444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
126,Latin Hypercube,ela_distr,10,1000,knn,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
127,Random walk,ela_distr,10,1000,knn,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
128,Hilbert curve,ela_distr,10,1000,knn,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
129,Latin Hypercube,ela_distr,20,1000,knn,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
130,Random walk,ela_distr,20,1000,knn,0.2361111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
131,Hilbert curve,ela_distr,20,1000,knn,0.4861111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
132,Latin Hypercube,ela_distr,2,1000,rfc,0.4305555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
133,Random walk,ela_distr,2,1000,rfc,0.16666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
134,Hilbert curve,ela_distr,2,1000,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
135,Latin Hypercube,ela_distr,5,1000,rfc,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
136,Random walk,ela_distr,5,1000,rfc,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
137,Hilbert curve,ela_distr,5,1000,rfc,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
138,Latin Hypercube,ela_distr,10,1000,rfc,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
139,Random walk,ela_distr,10,1000,rfc,0.18055555555555555,0,"Int64Index([], dtype='int64', name='test_id')"
140,Hilbert curve,ela_distr,10,1000,rfc,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
141,Latin Hypercube,ela_distr,20,1000,rfc,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
142,Random walk,ela_distr,20,1000,rfc,0.2361111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
143,Hilbert curve,ela_distr,20,1000,rfc,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
144,Latin Hypercube,ela_meta,2,100,dtree,0.7222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
145,Random walk,ela_meta,2,100,dtree,0.4722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
146,Hilbert curve,ela_meta,2,100,dtree,0.5416666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
147,Latin Hypercube,ela_meta,5,100,dtree,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
148,Random walk,ela_meta,5,100,dtree,0.625,0,"Int64Index([], dtype='int64', name='test_id')"
149,Hilbert curve,ela_meta,5,100,dtree,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
150,Latin Hypercube,ela_meta,10,100,dtree,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
151,Random walk,ela_meta,10,100,dtree,0.7083333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
152,Hilbert curve,ela_meta,10,100,dtree,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
153,Latin Hypercube,ela_meta,20,100,dtree,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
154,Random walk,ela_meta,20,100,dtree,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
155,Hilbert curve,ela_meta,20,100,dtree,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
156,Latin Hypercube,ela_meta,2,100,knn,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
157,Random walk,ela_meta,2,100,knn,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
158,Hilbert curve,ela_meta,2,100,knn,0.4027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
159,Latin Hypercube,ela_meta,5,100,knn,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
160,Random walk,ela_meta,5,100,knn,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
161,Hilbert curve,ela_meta,5,100,knn,0.4722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
162,Latin Hypercube,ela_meta,10,100,knn,0.6527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
163,Random walk,ela_meta,10,100,knn,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
164,Hilbert curve,ela_meta,10,100,knn,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
165,Latin Hypercube,ela_meta,20,100,knn,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
166,Random walk,ela_meta,20,100,knn,0.4027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
167,Hilbert curve,ela_meta,20,100,knn,0.7083333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
168,Latin Hypercube,ela_meta,2,100,rfc,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
169,Random walk,ela_meta,2,100,rfc,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
170,Hilbert curve,ela_meta,2,100,rfc,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
171,Latin Hypercube,ela_meta,5,100,rfc,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
172,Random walk,ela_meta,5,100,rfc,0.7361111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
173,Hilbert curve,ela_meta,5,100,rfc,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
174,Latin Hypercube,ela_meta,10,100,rfc,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
175,Random walk,ela_meta,10,100,rfc,0.7083333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
176,Hilbert curve,ela_meta,10,100,rfc,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
177,Latin Hypercube,ela_meta,20,100,rfc,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
178,Random walk,ela_meta,20,100,rfc,0.7638888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
179,Hilbert curve,ela_meta,20,100,rfc,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
180,Latin Hypercube,ela_meta,2,1000,dtree,0.7777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
181,Random walk,ela_meta,2,1000,dtree,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
182,Hilbert curve,ela_meta,2,1000,dtree,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
183,Latin Hypercube,ela_meta,5,1000,dtree,0.7777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
184,Random walk,ela_meta,5,1000,dtree,0.6527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
185,Hilbert curve,ela_meta,5,1000,dtree,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
186,Latin Hypercube,ela_meta,10,1000,dtree,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
187,Random walk,ela_meta,10,1000,dtree,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
188,Hilbert curve,ela_meta,10,1000,dtree,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
189,Latin Hypercube,ela_meta,20,1000,dtree,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
190,Random walk,ela_meta,20,1000,dtree,0.7638888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
191,Hilbert curve,ela_meta,20,1000,dtree,0.7638888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
192,Latin Hypercube,ela_meta,2,1000,knn,0.4722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
193,Random walk,ela_meta,2,1000,knn,0.25,0,"Int64Index([], dtype='int64', name='test_id')"
194,Hilbert curve,ela_meta,2,1000,knn,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
195,Latin Hypercube,ela_meta,5,1000,knn,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
196,Random walk,ela_meta,5,1000,knn,0.4305555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
197,Hilbert curve,ela_meta,5,1000,knn,0.5555555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
198,Latin Hypercube,ela_meta,10,1000,knn,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
199,Random walk,ela_meta,10,1000,knn,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
200,Hilbert curve,ela_meta,10,1000,knn,0.625,0,"Int64Index([], dtype='int64', name='test_id')"
201,Latin Hypercube,ela_meta,20,1000,knn,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
202,Random walk,ela_meta,20,1000,knn,0.2777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
203,Hilbert curve,ela_meta,20,1000,knn,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
204,Latin Hypercube,ela_meta,2,1000,rfc,0.7916666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
205,Random walk,ela_meta,2,1000,rfc,0.5555555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
206,Hilbert curve,ela_meta,2,1000,rfc,0.6666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
207,Latin Hypercube,ela_meta,5,1000,rfc,0.8333333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
208,Random walk,ela_meta,5,1000,rfc,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
209,Hilbert curve,ela_meta,5,1000,rfc,0.8333333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
210,Latin Hypercube,ela_meta,10,1000,rfc,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
211,Random walk,ela_meta,10,1000,rfc,0.8333333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
212,Hilbert curve,ela_meta,10,1000,rfc,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
213,Latin Hypercube,ela_meta,20,1000,rfc,0.8888888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
214,Random walk,ela_meta,20,1000,rfc,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
215,Hilbert curve,ela_meta,20,1000,rfc,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
216,Latin Hypercube,ic,2,100,dtree,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
217,Random walk,ic,2,100,dtree,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
218,Hilbert curve,ic,2,100,dtree,0.6527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
219,Latin Hypercube,ic,5,100,dtree,0.7083333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
220,Random walk,ic,5,100,dtree,0.625,0,"Int64Index([], dtype='int64', name='test_id')"
221,Hilbert curve,ic,5,100,dtree,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
222,Latin Hypercube,ic,10,100,dtree,0.7361111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
223,Random walk,ic,10,100,dtree,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
224,Hilbert curve,ic,10,100,dtree,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
225,Latin Hypercube,ic,20,100,dtree,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
226,Random walk,ic,20,100,dtree,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
227,Hilbert curve,ic,20,100,dtree,0.8611111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
228,Latin Hypercube,ic,2,100,knn,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
229,Random walk,ic,2,100,knn,0.5,0,"Int64Index([], dtype='int64', name='test_id')"
230,Hilbert curve,ic,2,100,knn,0.6527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
231,Latin Hypercube,ic,5,100,knn,0.625,0,"Int64Index([], dtype='int64', name='test_id')"
232,Random walk,ic,5,100,knn,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
233,Hilbert curve,ic,5,100,knn,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
234,Latin Hypercube,ic,10,100,knn,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
235,Random walk,ic,10,100,knn,0.7083333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
236,Hilbert curve,ic,10,100,knn,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
237,Latin Hypercube,ic,20,100,knn,0.7222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
238,Random walk,ic,20,100,knn,0.7638888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
239,Hilbert curve,ic,20,100,knn,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
240,Latin Hypercube,ic,2,100,rfc,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
241,Random walk,ic,2,100,rfc,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
242,Hilbert curve,ic,2,100,rfc,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
243,Latin Hypercube,ic,5,100,rfc,0.7638888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
244,Random walk,ic,5,100,rfc,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
245,Hilbert curve,ic,5,100,rfc,0.7361111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
246,Latin Hypercube,ic,10,100,rfc,0.9027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
247,Random walk,ic,10,100,rfc,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
248,Hilbert curve,ic,10,100,rfc,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
249,Latin Hypercube,ic,20,100,rfc,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
