run,dimensions,sample_n,sampler,dh
2,10,316,Hilbert curve 0.3,4.3289384219295455
2,10,316,Hilbert curve 0.5,4.336293875424388
2,10,1000,Latin Hypercube,3.876535584374948
2,10,1000,Random walk,7.22626906342312
2,10,1000,Hilbert curve 0.1,3.955690706037856
2,10,1000,Hilbert curve 0.3,3.808706817003611
2,10,1000,Hilbert curve 0.5,3.9097316005058995
2,20,100,Latin Hypercube,9.986933602408982
2,20,100,Random walk,12.630665494762397
2,20,100,Hilbert curve 0.1,10.259337731373504
2,20,100,Hilbert curve 0.3,9.668533453439068
2,20,100,Hilbert curve 0.5,9.456122232608372
2,20,316,Latin Hypercube,9.247186813190227
2,20,316,Random walk,12.273239017343268
2,20,316,Hilbert curve 0.1,9.445044960572869
2,20,316,Hilbert curve 0.3,8.95187181174954
2,20,316,Hilbert curve 0.5,8.791220823342588
2,20,1000,Latin Hypercube,8.591620915515186
2,20,1000,Random walk,12.732392289317097
2,20,1000,Hilbert curve 0.1,8.766712642087526
2,20,1000,Hilbert curve 0.3,8.285910274451238
2,20,1000,Hilbert curve 0.5,8.203325456652644
3,5,100,Latin Hypercube,2.0722982174183797
3,5,100,Random walk,3.7532420428464293
3,5,100,Hilbert curve 0.1,2.159012433370088
3,5,100,Hilbert curve 0.3,2.038834091675
3,5,100,Hilbert curve 0.5,2.0743931228915464
3,5,316,Latin Hypercube,1.6240096776059703
3,5,316,Random walk,4.434394836885383
3,5,316,Hilbert curve 0.1,1.6521499525304264
3,5,316,Hilbert curve 0.3,1.618428938560207
3,5,316,Hilbert curve 0.5,1.6903598335638867
3,5,1000,Latin Hypercube,1.270494605943865
3,5,1000,Random walk,3.7587408378862257
3,5,1000,Hilbert curve 0.1,1.2878131638790746
3,5,1000,Hilbert curve 0.3,1.2809050667459003
3,5,1000,Hilbert curve 0.5,1.3805583786311424
3,10,100,Latin Hypercube,5.07201816085062
3,10,100,Random walk,7.569390374126162
3,10,100,Hilbert curve 0.1,5.2361595521852555
3,10,100,Hilbert curve 0.3,4.946808872927319
3,10,100,Hilbert curve 0.5,4.953771125854688
3,10,316,Latin Hypercube,4.427396558910052
3,10,316,Random walk,7.680456034931988
3,10,316,Hilbert curve 0.1,4.5396338085541315
3,10,316,Hilbert curve 0.3,4.357547277713039
3,10,316,Hilbert curve 0.5,4.344127698548685
3,10,1000,Latin Hypercube,3.884938324715948
3,10,1000,Random walk,7.309025045726804
3,10,1000,Hilbert curve 0.1,3.956893901221891
3,10,1000,Hilbert curve 0.3,3.7985661411351663
3,10,1000,Hilbert curve 0.5,3.902126024228217
3,20,100,Latin Hypercube,9.94265145536156
3,20,100,Random walk,12.315231060773716
3,20,100,Hilbert curve 0.1,10.26205986367557
3,20,100,Hilbert curve 0.3,9.701569033773142
3,20,100,Hilbert curve 0.5,9.465243286208715
3,20,316,Latin Hypercube,9.231639003009326
3,20,316,Random walk,12.102594819274719
3,20,316,Hilbert curve 0.1,9.481082951385135
3,20,316,Hilbert curve 0.3,8.934731565327324
3,20,316,Hilbert curve 0.5,8.787174653893969
3,20,1000,Latin Hypercube,8.594293118599516
3,20,1000,Random walk,12.547054351593152
