test_id,repetition,function,sample_n,sampler,feature,value
583,4,7,100,"Latin Hypercube (nn)",sss.mean.0,0.035162039562533
583,4,7,100,"Latin Hypercube (nn)",sss.mean.1,0.139956953394243
583,4,7,100,"Latin Hypercube (nn)",sss.cov.0,0.000261408676106811
583,4,7,100,"Latin Hypercube (nn)",sss.cov.1,0.0119338577680145
584,4,8,100,"Latin Hypercube (nn)",sss.mean,0.0451435796905341
584,4,8,100,"Latin Hypercube (nn)",sss.std,0.0407176702168072
584,4,8,100,"Latin Hypercube (nn)",sss.max,0.3637622443845
584,4,8,100,"Latin Hypercube (nn)",sss.skew,11.4141452690834
584,4,8,100,"Latin Hypercube (nn)",sss.skew_p,3.55380303396836e-30
584,4,8,100,"Latin Hypercube (nn)",sss.weight.0,0.859448095177594
584,4,8,100,"Latin Hypercube (nn)",sss.weight.1,0.140551904822406
584,4,8,100,"Latin Hypercube (nn)",sss.mean.0,0.0340269094516927
584,4,8,100,"Latin Hypercube (nn)",sss.mean.1,0.113119898286585
584,4,8,100,"Latin Hypercube (nn)",sss.cov.0,0.000237370196868038
584,4,8,100,"Latin Hypercube (nn)",sss.cov.1,0.00497503742361456
585,4,9,100,"Latin Hypercube (nn)",sss.mean,0.0469611281321108
585,4,9,100,"Latin Hypercube (nn)",sss.std,0.0503407182125798
585,4,9,100,"Latin Hypercube (nn)",sss.max,0.554025193759635
585,4,9,100,"Latin Hypercube (nn)",sss.skew,13.5895915075114
585,4,9,100,"Latin Hypercube (nn)",sss.skew_p,4.61649735632379e-42
585,4,9,100,"Latin Hypercube (nn)",sss.weight.0,0.994974874371859
585,4,9,100,"Latin Hypercube (nn)",sss.weight.1,0.00502512562814072
585,4,9,100,"Latin Hypercube (nn)",sss.mean.0,0.0444001985077293
585,4,9,100,"Latin Hypercube (nn)",sss.mean.1,0.554025193759634
585,4,9,100,"Latin Hypercube (nn)",sss.cov.0,0.00124287309133169
585,4,9,100,"Latin Hypercube (nn)",sss.cov.1,1.0e-06
586,4,10,100,"Latin Hypercube (nn)",sss.mean,0.0457680952329018
586,4,10,100,"Latin Hypercube (nn)",sss.std,0.0429498569945991
586,4,10,100,"Latin Hypercube (nn)",sss.max,0.440379864318293
586,4,10,100,"Latin Hypercube (nn)",sss.skew,12.5005451235162
586,4,10,100,"Latin Hypercube (nn)",sss.skew_p,7.41411337959542e-36
586,4,10,100,"Latin Hypercube (nn)",sss.weight.0,0.91687134161761
586,4,10,100,"Latin Hypercube (nn)",sss.weight.1,0.0831286583823896
586,4,10,100,"Latin Hypercube (nn)",sss.mean.0,0.0369960077796889
586,4,10,100,"Latin Hypercube (nn)",sss.mean.1,0.142520235211119
586,4,10,100,"Latin Hypercube (nn)",sss.cov.0,0.000341502334281017
586,4,10,100,"Latin Hypercube (nn)",sss.cov.1,0.00822650446418347
587,4,11,100,"Latin Hypercube (nn)",sss.mean,0.0482399865809315
587,4,11,100,"Latin Hypercube (nn)",sss.std,0.0628613396342061
587,4,11,100,"Latin Hypercube (nn)",sss.max,0.665812985516567
587,4,11,100,"Latin Hypercube (nn)",sss.skew,13.594051542211
587,4,11,100,"Latin Hypercube (nn)",sss.skew_p,4.34354829210612e-42
587,4,11,100,"Latin Hypercube (nn)",sss.weight.0,0.916859283645723
587,4,11,100,"Latin Hypercube (nn)",sss.weight.1,0.0831407163542768
587,4,11,100,"Latin Hypercube (nn)",sss.mean.0,0.0355783702175066
587,4,11,100,"Latin Hypercube (nn)",sss.mean.1,0.187869773499042
587,4,11,100,"Latin Hypercube (nn)",sss.cov.0,0.000391101046194062
587,4,11,100,"Latin Hypercube (nn)",sss.cov.1,0.0219630607092143
588,4,12,100,"Latin Hypercube (nn)",sss.mean,0.047250686316385
588,4,12,100,"Latin Hypercube (nn)",sss.std,0.0501789945875745
588,4,12,100,"Latin Hypercube (nn)",sss.max,0.423159499635247
588,4,12,100,"Latin Hypercube (nn)",sss.skew,12.2357189674484
