test_id,function,dimensions,sample_n,sampler,feature,value,n
37,13,5,100,Latin Hypercube (hc),t.generation,0.00038109999877633527,500
37,13,5,100,Latin Hypercube (hc),t.ic.calculate,0.42645510000147624,500
38,14,5,100,Latin Hypercube (hc),t.generation,0.00037739999970654026,500
38,14,5,100,Latin Hypercube (hc),t.ic.calculate,0.40684540000074776,500
39,15,5,100,Latin Hypercube (hc),t.generation,0.00042550000216579065,500
39,15,5,100,Latin Hypercube (hc),t.ic.calculate,0.43693180000263965,500
40,16,5,100,Latin Hypercube (hc),t.generation,0.0003987000018241815,500
40,16,5,100,Latin Hypercube (hc),t.ic.calculate,0.4139723000007507,500
41,17,5,100,Latin Hypercube (hc),t.generation,0.000387099997169571,500
41,17,5,100,Latin Hypercube (hc),t.ic.calculate,0.4109114999992016,500
42,18,5,100,Latin Hypercube (hc),t.generation,0.0003667999990284443,500
42,18,5,100,Latin Hypercube (hc),t.ic.calculate,0.4200886000035098,500
43,19,5,100,Latin Hypercube (hc),t.generation,0.0003346999983477872,500
43,19,5,100,Latin Hypercube (hc),t.ic.calculate,0.4118845000011788,500
44,20,5,100,Latin Hypercube (hc),t.generation,0.00036950000139768235,500
44,20,5,100,Latin Hypercube (hc),t.ic.calculate,0.4868295999986003,500
45,21,5,100,Latin Hypercube (hc),t.generation,0.0003752999982680194,500
45,21,5,100,Latin Hypercube (hc),t.ic.calculate,0.3896243000017421,500
46,22,5,100,Latin Hypercube (hc),t.generation,0.00037030000021331944,500
46,22,5,100,Latin Hypercube (hc),t.ic.calculate,0.40159700000003795,500
47,23,5,100,Latin Hypercube (hc),t.generation,0.0003987000018241815,500
47,23,5,100,Latin Hypercube (hc),t.ic.calculate,0.3950552999995125,500
48,24,5,100,Latin Hypercube (hc),t.generation,0.00037879999945289455,500
48,24,5,100,Latin Hypercube (hc),t.ic.calculate,0.4041058999973757,500
49,1,5,100,Latin Hypercube (rnd),t.generation,0.00035369999750400893,500
49,1,5,100,Latin Hypercube (rnd),t.ic.calculate,0.3801028999987466,500
50,2,5,100,Latin Hypercube (rnd),t.generation,0.00034869999944930896,500
50,2,5,100,Latin Hypercube (rnd),t.ic.calculate,0.5272226999986742,500
51,3,5,100,Latin Hypercube (rnd),t.generation,0.00037879999945289455,500
51,3,5,100,Latin Hypercube (rnd),t.ic.calculate,0.4005438000021968,500
52,4,5,100,Latin Hypercube (rnd),t.generation,0.0003720999993674923,500
52,4,5,100,Latin Hypercube (rnd),t.ic.calculate,0.41223059999902034,500
53,5,5,100,Latin Hypercube (rnd),t.generation,0.0003467999995336868,500
53,5,5,100,Latin Hypercube (rnd),t.ic.calculate,0.39990820000093663,500
54,6,5,100,Latin Hypercube (rnd),t.generation,0.0003371999991941266,500
54,6,5,100,Latin Hypercube (rnd),t.ic.calculate,0.4782082999990962,500
55,7,5,100,Latin Hypercube (rnd),t.generation,0.00036420000105863437,500
55,7,5,100,Latin Hypercube (rnd),t.ic.calculate,0.4021993999995175,500
56,8,5,100,Latin Hypercube (rnd),t.generation,0.00038750000021536835,500
56,8,5,100,Latin Hypercube (rnd),t.ic.calculate,0.4590635000022303,500
57,9,5,100,Latin Hypercube (rnd),t.generation,0.0003648999991128221,500
57,9,5,100,Latin Hypercube (rnd),t.ic.calculate,0.47340799999801675,500
58,10,5,100,Latin Hypercube (rnd),t.generation,0.00036920000275131315,500
58,10,5,100,Latin Hypercube (rnd),t.ic.calculate,0.5340189000016835,500
59,11,5,100,Latin Hypercube (rnd),t.generation,0.0003422999980102759,500
59,11,5,100,Latin Hypercube (rnd),t.ic.calculate,0.5561944000000949,500
60,12,5,100,Latin Hypercube (rnd),t.generation,0.00037259999953676015,500
